Product Name,Product Description,Price,Currency,Quantity,Barcode Data
Filter Coffee 500g,Bru Gold,285,₹,40 in stock,8902345600011
Wheat Atta 10kg,Aashirvaad,489,₹,22 in stock,8902345600028
Mustard Oil 1L,Fortune,178,₹,35 in stock,8902345600035
Toor Dal 1kg,Tata Sampann,165,₹,50 in stock,8902345600042
Red Chilli Powder 100g,Everest,58,₹,70 in stock,8902345600059
Sunflower Oil 5L,Sundrop,899,₹,15 in stock,8902345600066
Green Tea 100 Bags,Lipton,399,₹,28 in stock,8902345600073
Jaggery 1kg,Organic Tattva,120,₹,44 in stock,8902345600080
Cashew Nuts 500g,Nutraj,549,₹,19 in stock,8902345600097
Honey 500g,Dabur,249,₹,33 in stock,8902345600103
